r2, X, Y, Z
0.000057, 0.005155, -0.002110, 0.005077
0.005812, -0.042840, -0.022609, -0.058868
0.000189, 0.002107, 0.006483, 0.011930
0.000252, -0.012993, -0.004094, -0.008164
0.000299, 0.003697, -0.005060, -0.016131
0.000537, 0.001896, -0.011595, -0.019972
0.000313, -0.004395, -0.007832, -0.015240
0.000285, 0.008524, -0.003683, -0.014088
0.000220, -0.011799, -0.006519, -0.006174
0.000430, 0.010607, -0.002719, -0.017618
0.000150, -0.001781, -0.008905, -0.008240
0.000188, 0.001926, -0.001502, -0.013478
0.000194, -0.001495, -0.003335, -0.013456
0.000204, 0.000612, -0.008479, -0.011462
0.000165, -0.002474, -0.004144, -0.011888
0.000310, 0.005324, -0.007536, -0.014993
0.000295, -0.007027, -0.005718, -0.014593
0.000578, 0.015285, -0.008602, -0.016455
0.000412, 0.001562, -0.006324, -0.019226
0.000450, -0.006846, -0.013919, -0.014459
0.001042, -0.027697, -0.010307, -0.012978
0.001374, -0.034685, -0.010345, -0.008024
0.000421, -0.007398, -0.011072, -0.015613
0.000267, -0.001066, -0.007844, -0.014301
0.001746, 0.036080, -0.017086, 0.012339
0.024599, 0.048061, 0.149269, -0.002896
0.013377, -0.097113, 0.058763, -0.022207
0.010492, -0.022376, 0.063857, 0.076899
0.000275, 0.004449, 0.015286, -0.004664
0.000148, 0.011311, 0.002307, -0.003862
0.000126, 0.000467, -0.003037, -0.010804
0.000361, 0.002553, 0.003146, -0.018576
0.000154, 0.008425, -0.006504, -0.006416
0.000246, 0.008773, -0.009542, -0.008824
0.000201, -0.001687, -0.003791, -0.013571
0.000337, 0.002301, -0.003009, -0.017955
0.000236, 0.007156, 0.001811, -0.013486
0.000242, 0.007030, -0.000482, -0.013883
0.000155, 0.003790, 0.000741, -0.011831
0.000227, 0.004945, -0.004328, -0.013575
0.000251, 0.002890, 0.000458, -0.015578
0.000317, 0.004222, 0.003189, -0.016999
0.000111, 0.002280, 0.002215, -0.010036
0.000101, 0.000469, 0.000581, -0.010029
0.000370, 0.004837, 0.002345, -0.018480
0.000266, 0.005108, 0.000990, -0.015462
0.000188, 0.002766, -0.000300, -0.013409
0.000120, 0.000972, 0.004182, -0.010095
0.000199, 0.002567, -0.000257, -0.013885
0.000251, 0.006147, 0.004788, -0.013795
0.000256, 0.003113, -0.007029, -0.014040
0.000258, 0.001849, -0.002327, -0.015789
0.000196, 0.004883, -0.001770, -0.012992
0.000133, 0.006892, -0.002179, -0.008996
0.000352, 0.012419, -0.002616, -0.013813
0.000539, 0.011450, 0.007004, -0.018941
0.000230, -0.002544, -0.000966, -0.014914
0.000199, 0.002317, 0.001221, -0.013854
0.000139, 0.004310, -0.000075, -0.010952
0.000448, 0.001952, 0.007133, -0.019834
0.000459, 0.004876, -0.003820, -0.020516
0.000291, 0.006262, -0.001601, -0.015775
0.000205, 0.009638, 0.002426, -0.010330
0.000186, 0.007407, -0.002252, -0.011208
0.000181, -0.005187, 0.008369, -0.009150
0.000168, 0.007324, -0.002728, -0.010345
0.000298, 0.006771, -0.010142, -0.012215
0.000374, 0.000922, 0.009734, -0.016700
0.000280, 0.007193, -0.000380, -0.015089
0.000329, 0.006552, -0.006663, -0.015534
0.000439, 0.006339, -0.003267, -0.019713
0.000421, -0.002158, -0.002790, -0.020209
0.000197, 0.003248, -0.002918, -0.013348
0.000091, 0.004755, -0.003904, -0.007306
0.000127, 0.005287, 0.003588, -0.009274
0.000172, 0.001510, -0.000486, -0.013031
0.000111, 0.002911, -0.003385, -0.009560
0.000353, -0.003421, -0.016571, -0.008192
0.000159, -0.001178, 0.007426, -0.010109
0.000312, 0.000703, 0.000394, -0.017658
0.000255, 0.002888, -0.001422, -0.015642
0.000245, 0.009207, 0.000019, -0.012658
0.000068, 0.000801, -0.002960, -0.007672
0.000100, 0.002398, -0.002384, -0.009410
0.000254, 0.009064, -0.002319, -0.012909
0.000270, 0.006887, -0.009037, -0.011875
0.000230, 0.002789, -0.000010, -0.014898
0.000248, 0.004619, -0.003527, -0.014645
0.000320, 0.007930, -0.003376, -0.015690
0.000387, -0.001109, 0.000888, -0.019616
0.000173, 0.001966, -0.002848, -0.012703
0.000320, 0.009302, 0.001621, -0.015186
0.000306, 0.006067, 0.003423, -0.016053
0.000227, 0.002969, -0.003613, -0.014337
0.000167, 0.007537, 0.001959, -0.010321
0.000384, 0.003593, -0.003500, -0.018949
0.000185, 0.004185, -0.004201, -0.012222
0.000089, -0.001114, 0.001939, -0.009145
0.000447, 0.008423, 0.004130, -0.018952
0.000172, 0.008080, -0.001782, -0.010153
0.000152, 0.000465, -0.000963, -0.012273
0.000080, 0.000654, -0.000383, -0.008918
0.000170, -0.002222, -0.002518, -0.012618
0.000234, 0.003695, -0.003733, -0.014384
0.000174, 0.005770, 0.001090, -0.011833
0.000204, 0.000351, -0.004755, -0.013456
0.000421, 0.001308, -0.004536, -0.019960
0.000257, 0.003401, -0.000392, -0.015646
0.000240, 0.007589, 0.002995, -0.013187
0.000266, -0.002172, -0.005305, -0.015282
0.000165, 0.001627, -0.002464, -0.012509
0.000193, -0.002962, 0.001161, -0.013526
0.000468, 0.003172, 0.009311, -0.019263
0.000135, 0.003567, 0.001468, -0.010979
0.000473, 0.010269, 0.002455, -0.019012
0.000076, 0.001003, -0.002501, -0.008274
0.000157, 0.003348, -0.001836, -0.011951
