r2, X, Y, Z
0.003052, 0.000633, 0.017730, 0.052320
0.000319, -0.009689, 0.014702, 0.002944
0.006174, -0.069729, -0.026200, 0.025014
0.005294, 0.033388, 0.000179, -0.064649
0.005002, -0.035114, -0.012251, -0.060159
0.000605, -0.012862, -0.018021, 0.010729
0.020296, -0.000851, -0.035684, -0.137921
0.001031, -0.005520, -0.026233, 0.017678
0.003638, 0.029239, 0.050238, -0.016100
0.098567, 0.279990, 0.054868, -0.131002
0.010837, 0.047544, -0.008400, -0.092230
0.019350, 0.065428, -0.005349, -0.122639
0.017691, -0.130024, 0.009316, 0.026418
0.007462, -0.025304, 0.006865, 0.082305
0.001671, -0.012271, -0.015491, -0.035776
0.001378, -0.007185, -0.034064, -0.012898
0.006215, -0.020457, -0.022503, -0.072734
0.010710, -0.061670, -0.044907, -0.069931
0.006813, -0.003906, 0.006526, -0.082191
0.010562, 0.088570, 0.023815, -0.046370
0.021913, -0.033090, 0.030143, 0.141101
0.004439, -0.047504, -0.046119, 0.007415
0.004784, -0.014450, -0.033748, -0.058621
0.005280, 0.066177, 0.016315, 0.025192
0.002496, 0.010179, -0.004290, 0.048720
0.002039, 0.012820, 0.014532, -0.040785
0.004511, -0.001707, -0.056023, -0.037007
0.011620, 0.082609, 0.026438, -0.064006
0.003590, -0.046414, -0.033276, -0.018112
0.018788, 0.045748, -0.063270, -0.112659
0.000813, -0.009688, 0.001280, -0.026778
0.006591, 0.036217, 0.032755, 0.064860, 0, Decelerating
0.010365, -0.013948, 0.027795, 0.096943
0.007577, -0.063564, -0.029516, -0.051629
0.016121, 0.093732, -0.039054, -0.076225
0.003445, 0.029831, -0.020037, -0.046410
0.009621, -0.019498, 0.026378, 0.092439
0.024500, -0.057827, -0.084999, -0.118032
0.004235, -0.017054, -0.029115, -0.055642
0.009920, 0.015429, 0.082294, 0.053943
0.001690, 0.003834, -0.025438, 0.032059
0.008648, -0.030076, -0.046691, 0.074585
0.014345, -0.009832, -0.041304, -0.111993
0.001558, -0.015474, -0.011331, 0.034492
0.005330, -0.069066, -0.008202, -0.022203
0.042370, -0.002510, 0.060056, 0.196868
0.035602, -0.031318, -0.080733, -0.167640
0.004372, 0.060191, 0.009062, -0.025831
0.002430, -0.032193, -0.037321, -0.000667
0.017658, -0.021393, -0.089837, -0.095549
0.009085, 0.056055, 0.066157, 0.039566
0.009825, 0.075464, 0.051950, 0.037833
0.000481, 0.014719, -0.008221, 0.014039
0.023646, -0.012464, -0.042335, -0.147305
0.002876, -0.030710, 0.026966, 0.034721
0.004421, 0.051584, -0.020408, -0.036655
0.001025, -0.016787, -0.022183, 0.015835
0.001538, -0.031613, -0.015842, -0.016963
0.004700, -0.006264, -0.021057, -0.064938
0.000729, -0.015148, 0.017347, 0.014093
0.000896, 0.017863, -0.023100, -0.006612
